Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms
Is nearest hospital,glossary_term,,Identifies if the hospital visited by a patient is the nearest hospital.,,,,
Latitude,glossary_term,,Indicates a geographic coordinate that specifies the north–south position of a point on the Earth's surface.,,,,
Length of Stay,glossary_term,,"Indicates the days a patient stayed in the hospital. This is the time (days) between patient's admission and discharge.
",,,,
Longitude,glossary_term,,"It is a geographic coordinate that specifies the east–west position of a point on the Earth's surface, or the surface of a celestial body. ",,,,
Nearest Hospital,glossary_term,,Indicates the nearest hospital to patient's location,,,,
Nearest Hospital Distance,glossary_term,,Specifies the distance calculated between the patient's location and the nearest hospital.,,,,
Patient,glossary_term,,Information related to the person seeking diagnosis or treatment.,,,,
Patient Address,glossary_term,,Identifies the address of the patient.,,,,
Patient Age Group,glossary_term,,The length of time that a patient has lived or existed.,,,,
Patient Condition,glossary_term,,Indicates the medical condition of the patient.,,,,
Patient Encounter,glossary_term,,A relationship to identify patient encounter.,,,,
Patient Identifier,glossary_term,,A unique identifier which identifies a patient.,,,,
Patient Safety Performance Rating,glossary_term,,Indicates the performance of the healthcare provider with respect to the safety of its patients.,,,,
Patient Status,glossary_term,,Indicates the status of patient.,,,,
Postal Address,glossary_term,,The address to which mail is delivered.,,,,
Postal Code,glossary_term,,A code that is included in a postal address to assist the sorting of mail.,,,,
Principal Diagnosis Code,glossary_term,,Principal code that uniquely identifies each type of diagnosis,,,,
Private Amount,glossary_term,,The amount associated with accommodation charge or private room charge.,,,,
Provider,glossary_term,,Information related to the organization that provides treatment and diagnosis for the patient,,,,
Provider Address,glossary_term,,Location where the provider is situated.,,,,
Provider Identifier,glossary_term,,An identifier to represent a provider or a hospital,,,,
Provider Name,glossary_term,,Name of the hospital that provides health care services to consumers,,,,
Provider Specialty,glossary_term,,"Indicates defined group of patients, diseases, skills, or philosophy that a hospital specializes in.",,,,
Public Health Region,glossary_term,,Public Health Region of hospitals address.,,,,
Quarter,glossary_term,,quarter in which patient is admitted,,,,
Race,glossary_term,,The race information that is related to an individual.,,,,
Risk Mortality,glossary_term,,Indicates the risk of mortality score.,,,,
Secondary Payment Source,glossary_term,,Code indicating the expected secondary  source of payment.,,,,
Social Security Number,glossary_term,,"Identification number issued to citizens, permanent residents",,,,
Source of Admission,glossary_term,,Code indicating source of the admission.,,,,
Specialty Code,glossary_term,,"Specialty Units in which most days during stay occurred based on number of days by Type of Bill or Revenue Code.
",,,,
Total Charges,glossary_term,,"Sum of accommodation charges, non-covered accommodation charges, ancillary charges, noncovered ancillary charges.",,,,
Trade off Distance,glossary_term,,Indicates distance between the nearest hospital and the hospital visited,,,,
Type of Admission,glossary_term,,Code indicating the type of admission,,,,
Type of Bill,glossary_term,,Provides specific information about the claim data submitted.,,,,
Year,glossary_term,,Year in which patient is admitted,,,,
Base Encounter Cost,glossary_term,,Base cost of a patient for an encounter with a provider,,,,
Encounter Payer Coverage,glossary_term,,Payer coverage for the encounter of a patient with the provider,,,,
Facility Identifier,glossary_term,,A unique number that identifies the facility.,,,,
